date,flu symptoms,swine flu,flu remedies,symptoms of flu,flu medication,flu vaccine,cat flu,flu home remedies,swine flu symptoms,home remedies for flu,flu during pregnancy,bird flu,cat flu in dogs,man flu,flu injection,home remedy for flu,what is mono,meningitis symptoms,symptoms of meningitis,meningitis causes,what is meningitis,tb meningitis,cryptococcal meningitis,meningitis in children,is meningitis contagious,causes of meningitis,what causes meningitis,meningitis symptoms children,symptoms of malaria,rsv virus,pneumonia symptoms,symptoms of pneumonia,pneumonia causes,pneumonia treatment,signs of pneumonia,pneumonia in children,bronchitis,bronchial pneumonia,what causes pneumonia,walking pneumonia,signs and symptoms of pneumonia,pcp pneumonia,lobar pneumonia
2014-08-03,30.158730158730158,15.0,58.06451612903226,4.166666666666667,4.761904761904762,5.084745762711864,13.636363636363637,47.66666666666667,19.0,52.38095238095238,14.43298969072165,0.6268656716417911,20.0,0.0,20.0,6.331168831168831,0.0,46.0,37.096774193548384,20.0,15.384615384615385,33.56643356643357,0.0,0.0,0.0,17.24137931034483,0.0,0.0,41.0,10.4,31.428571428571427,30.548068283917342,25.806451612903224,19.23076923076923,22.727272727272727,30.0,57.0,25.0,0.0,43.85964912280702,0.0,0.0,0.0
2014-08-10,28.571428571428573,16.0,14.516129032258066,16.666666666666668,14.285714285714286,11.864406779661017,0.0,8.666666666666668,7.0,23.80952380952381,53.608247422680414,0.0,0.0,23.636363636363637,0.0,0.0,19.047619047619047,21.0,20.967741935483872,12.857142857142858,42.30769230769231,9.79020979020979,41.666666666666664,12.962962962962964,21.311475409836067,0.0,21.53846153846154,0.0,5.0,9.6,46.666666666666664,18.328840970350406,16.129032258064516,19.23076923076923,9.090909090909092,20.0,65.0,47.0,47.95918367346939,0.0,0.0,41.0,0.0
2014-08-17,20.634920634920636,13.0,24.193548387096776,12.5,28.571428571428573,0.0,0.0,43.33333333333334,10.0,33.333333333333336,26.804123711340207,0.5820895522388061,0.0,11.818181818181818,20.0,23.917748917748916,21.428571428571427,17.0,6.451612903225806,12.857142857142858,15.384615384615385,11.188811188811188,22.22222222222222,0.0,0.0,0.0,0.0,0.0,33.0,4.8,35.23809523809524,18.328840970350406,6.451612903225806,19.23076923076923,9.090909090909092,20.0,71.0,24.0,24.489795918367346,0.0,0.0,0.0,0.0
2014-08-24,28.571428571428573,7.0,53.22580645161291,16.666666666666668,19.047619047619047,5.084745762711864,13.636363636363637,21.66666666666667,3.0,14.285714285714286,55.670103092783506,0.5820895522388061,0.0,12.727272727272727,0.0,6.331168831168831,21.428571428571427,36.0,29.032258064516128,12.857142857142858,44.23076923076923,11.188811188811188,0.0,14.814814814814815,45.90163934426229,16.091954022988507,0.0,0.0,17.0,0.0,36.19047619047619,19.856244384546272,9.67741935483871,11.538461538461538,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-31,15.873015873015873,5.0,38.70967741935484,16.666666666666668,14.285714285714286,5.084745762711864,0.0,13.000000000000002,3.0,14.285714285714286,0.0,0.5820895522388061,0.0,24.545454545454547,0.0,0.0,21.428571428571427,35.0,20.967741935483872,12.857142857142858,28.846153846153847,11.188811188811188,0.0,0.0,0.0,32.18390804597701,43.07692307692308,0.0,6.0,0.0,35.23809523809524,9.164420485175203,0.0,0.0,9.090909090909092,20.0,50.0,48.0,0.0,0.0,0.0,0.0,0.0
2014-09-07,20.634920634920636,5.0,19.35483870967742,12.5,14.285714285714286,5.084745762711864,45.45454545454545,21.66666666666667,3.0,14.285714285714286,27.835051546391753,0.0,18.571428571428573,24.545454545454547,37.77777777777778,0.0,0.0,22.0,20.967741935483872,0.0,28.846153846153847,11.188811188811188,41.666666666666664,14.814814814814815,0.0,0.0,0.0,0.0,22.0,4.8,29.523809523809526,9.164420485175203,22.580645161290324,19.23076923076923,0.0,0.0,50.0,0.0,24.489795918367346,0.0,0.0,42.0,0.0
2014-09-14,22.22222222222222,4.0,38.70967741935484,12.5,14.285714285714286,5.084745762711864,36.36363636363637,21.66666666666667,0.0,23.80952380952381,13.402061855670103,0.5820895522388061,18.571428571428573,11.818181818181818,0.0,0.0,40.476190476190474,9.0,14.516129032258064,5.714285714285714,15.384615384615385,11.188811188811188,22.22222222222222,14.814814814814815,0.0,0.0,0.0,0.0,11.0,0.0,40.95238095238095,18.328840970350406,16.129032258064516,0.0,9.090909090909092,0.0,57.0,24.0,0.0,42.10526315789474,25.0,0.0,0.0
2014-09-21,12.698412698412698,3.0,4.838709677419355,4.166666666666667,0.0,0.0,22.727272727272727,34.66666666666667,0.0,14.285714285714286,0.0,0.0,20.0,0.0,0.0,6.331168831168831,21.428571428571427,14.0,8.064516129032258,12.857142857142858,15.384615384615385,22.377622377622377,0.0,14.814814814814815,0.0,17.24137931034483,0.0,15.0,35.0,0.0,25.714285714285715,19.856244384546272,16.129032258064516,0.0,0.0,30.0,47.0,51.0,26.53061224489796,0.0,0.0,0.0,0.0
2014-09-28,7.936507936507937,0.0,24.193548387096776,4.166666666666667,14.285714285714286,0.0,0.0,13.000000000000002,0.0,14.285714285714286,14.43298969072165,0.6268656716417911,0.0,12.727272727272727,0.0,0.0,0.0,31.0,6.451612903225806,12.857142857142858,15.384615384615385,22.377622377622377,0.0,14.814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,12.380952380952381,9.164420485175203,9.67741935483871,11.538461538461538,13.636363636363637,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-05,26.984126984126984,8.0,19.35483870967742,33.333333333333336,14.285714285714286,5.084745762711864,13.636363636363637,13.000000000000002,5.0,0.0,14.43298969072165,0.0,0.0,0.0,20.0,0.0,64.28571428571429,36.0,22.580645161290324,12.857142857142858,0.0,11.188811188811188,0.0,14.814814814814815,0.0,16.091954022988507,0.0,14.0,11.0,0.0,18.095238095238095,0.0,9.67741935483871,11.538461538461538,0.0,0.0,33.0,0.0,25.510204081632654,0.0,0.0,22.0,0.0
2014-10-12,22.22222222222222,3.0,38.70967741935484,29.166666666666668,0.0,5.084745762711864,13.636363636363637,21.66666666666667,0.0,0.0,14.43298969072165,0.0,20.0,0.0,0.0,0.0,0.0,14.0,8.064516129032258,12.857142857142858,15.384615384615385,11.188811188811188,22.22222222222222,0.0,0.0,0.0,21.53846153846154,0.0,23.0,0.0,19.047619047619047,0.0,9.67741935483871,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,40.74074074074074
2014-10-19,1.5873015873015872,3.0,19.35483870967742,4.166666666666667,14.285714285714286,5.084745762711864,13.636363636363637,21.66666666666667,0.0,14.285714285714286,27.835051546391753,0.0,20.0,12.727272727272727,0.0,0.0,21.428571428571427,23.0,8.064516129032258,7.142857142857143,30.76923076923077,0.0,0.0,0.0,0.0,0.0,21.53846153846154,0.0,40.0,4.8,49.523809523809526,29.020664869721475,16.129032258064516,50.0,36.36363636363637,30.0,31.0,0.0,25.510204081632654,43.85964912280702,26.041666666666668,22.0,0.0
2014-10-26,12.698412698412698,1.0,24.193548387096776,4.166666666666667,19.047619047619047,8.474576271186441,36.36363636363637,13.000000000000002,0.0,0.0,13.402061855670103,0.0,0.0,0.0,0.0,0.0,0.0,27.0,14.516129032258064,12.857142857142858,0.0,11.188811188811188,22.22222222222222,0.0,0.0,0.0,21.53846153846154,0.0,39.0,10.4,23.80952380952381,0.0,9.67741935483871,0.0,0.0,0.0,33.0,25.0,25.510204081632654,0.0,0.0,21.0,0.0
2014-11-02,12.698412698412698,4.0,19.35483870967742,4.166666666666667,14.285714285714286,5.084745762711864,0.0,21.66666666666667,3.0,23.80952380952381,13.402061855670103,0.5820895522388061,0.0,12.727272727272727,20.0,6.331168831168831,0.0,22.0,14.516129032258064,5.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,21.53846153846154,0.0,23.0,0.0,30.476190476190474,9.164420485175203,16.129032258064516,0.0,13.636363636363637,0.0,18.0,0.0,25.510204081632654,0.0,51.041666666666664,0.0,38.888888888888886
2014-11-09,11.11111111111111,0.0,4.838709677419355,12.5,14.285714285714286,0.0,13.636363636363637,0.0,0.0,14.285714285714286,13.402061855670103,0.0,18.571428571428573,0.0,0.0,6.331168831168831,0.0,13.0,6.451612903225806,0.0,44.23076923076923,11.188811188811188,41.666666666666664,0.0,0.0,0.0,0.0,0.0,11.0,10.4,30.476190476190474,19.856244384546272,9.67741935483871,19.23076923076923,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-16,4.761904761904762,0.0,33.87096774193549,4.166666666666667,14.285714285714286,0.0,63.63636363636363,34.66666666666667,0.0,38.095238095238095,29.896907216494846,1.9253731343283584,20.0,12.727272727272727,0.0,0.0,45.23809523809524,19.0,14.516129032258064,12.857142857142858,48.07692307692308,11.188811188811188,22.22222222222222,0.0,0.0,17.24137931034483,0.0,0.0,12.0,0.0,19.047619047619047,21.38364779874214,16.129032258064516,0.0,13.636363636363637,0.0,24.0,0.0,26.53061224489796,0.0,0.0,0.0,0.0
2014-11-23,4.761904761904762,0.0,19.35483870967742,0.0,0.0,0.0,13.636363636363637,34.66666666666667,0.0,38.095238095238095,14.43298969072165,0.0,0.0,26.363636363636363,0.0,0.0,21.428571428571427,29.0,22.580645161290324,0.0,15.384615384615385,0.0,47.22222222222222,14.814814814814815,0.0,0.0,0.0,0.0,18.0,0.0,32.38095238095238,41.23989218328841,9.67741935483871,19.23076923076923,0.0,0.0,27.0,26.0,0.0,45.6140350877193,0.0,0.0,0.0
